Handle;Title;Type;Tags;Published;Metafield: shopify--discovery--product_recommendation.related_products_display [single_line_text_field];Metafield: shopify--discovery--product_recommendation.related_products [list.product_reference]
2008-cadillac-cts-fobkey-remote-pn-22889450;2008 Cadillac CTS FobKey Remote PN: 22889450;Smart Fobik; ymm_2008_Cadillac_CTS;TRUE;only manual;
2008-cadillac-dts-smart-key-fob-driver-2-pn-25946299;2008 Cadillac DTS Smart Key Fob Driver 2 PN: 25946299;Smart Key Remote; ymm_2008_Cadillac_DTS;TRUE;only manual;
2008-cadillac-escalade-fobkey-remote-pn-22756466-20802902;"2008 Cadillac Escalade Remote Driver 2 PN: 22756466, 20802902";Smart Fobik; ymm_2008_Cadillac_Escalade;TRUE;only manual;
2008-cadillac-sts-smart-key-fob-driver-2-pn-25946299;2008 Cadillac STS Smart Key Fob Driver 2 PN: 25946299;Smart Key Remote; ymm_2008_Cadillac_STS;TRUE;only manual;
2008-chevrolet-aveo5-remote-head-key-7000;"2008 Chevrolet Aveo5 Remote Head Key FCC ID: IT7RK700NR, PN: 96405731";Remote Head Key; ymm_2008_Chevrolet_Aveo5;TRUE;only manual;
2008-dodge-challenger-fobik-remote-pn-56046694ah-05026457ak;"2008 Dodge Challenger Fobik Remote PN: 56046694AH, 05026457AK";Fobik; ymm_2008_Dodge_Challenger;TRUE;only manual;
2008-dodge-dakota-remote-head-key-5143608aa-5183348aa;"2008 Dodge Dakota Remote Head Key PN: 5143608AA, 5183348AA";Remote Head Key; ymm_2008_Dodge_Dakota;TRUE;only manual;
2008-ford-edge-remote-head-key-pn-5914457-164-r7040;"2008 Ford  Edge Remote Head Key PN: 5914457, 164-R7040";Remote Head Key; ymm_2008_Ford _Edge;TRUE;only manual;
2008-ford-escape-remote-head-key-pn-5914457-164-r7040;"2008 Ford  Escape Remote Head Key PN: 5914457, 164-R7040";Remote Head Key; ymm_2008_Ford _Escape;TRUE;only manual;
2008-ford-explorer-remote-head-key-pn-5914457-164-r7040;"2008 Ford  Explorer Remote Head Key PN: 5914457, 164-R7040";Remote Head Key; ymm_2008_Ford _Explorer;TRUE;only manual;
2008-ford-five-hundred-remote-head-key-pn-5914457-164-r7040;"2008 Ford  Five Hundred Remote Head Key PN: 5914457, 164-R7040";Remote Head Key; ymm_2008_Ford _Five__Hundred;TRUE;only manual;
2008-ford-fusion-remote-head-key-pn-5914457-164-r7040;"2008 Ford  Fusion Remote Head Key PN: 5914457, 164-R7040";Remote Head Key; ymm_2008_Ford _Fusion;TRUE;only manual;
2008-ford-taurus-remote-head-key-pn-5914457-164-r7040;"2008 Ford  Taurus Remote Head Key PN: 5914457, 164-R7040";Remote Head Key; ymm_2008_Ford _Taurus;TRUE;only manual;
2008-jaguar-s-type-8912;"2008 Jaguar S-Type FlipKey Remote FCC ID: NHVWB1U241, CWTWB1U243";Flipkey Remote; ymm_2008_Jaguar_S-Type;TRUE;only manual;
2008-jaguar-super-v8-8912;"2008 Jaguar Super V8 FlipKey Remote FCC ID: NHVWB1U241, CWTWB1U243";Flipkey Remote; ymm_2008_Jaguar_Super__V8;TRUE;only manual;
2008-jaguar-vanden-plas-8912;"2008 Jaguar Vanden Plas FlipKey Remote FCC ID: NHVWB1U241, CWTWB1U243";Flipkey Remote; ymm_2008_Jaguar_Vanden__Plas;TRUE;only manual;
2008-jaguar-xj8-8912;"2008 Jaguar XJ8 FlipKey Remote FCC ID: NHVWB1U241, CWTWB1U243";Flipkey Remote; ymm_2008_Jaguar_XJ8;TRUE;only manual;
2008-jaguar-xjr-8912;"2008 Jaguar XJR FlipKey Remote FCC ID: NHVWB1U241, CWTWB1U243";Flipkey Remote; ymm_2008_Jaguar_XJR;TRUE;only manual;
